source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
fda.nsde.marketing,,,,0,0,720,,,0,paused
fda.citations.history,2026-09-08T14:29:15Z,2026-09-09T17:03:16Z,2026-09-09T17:03:16Z,0,0,2160,40.0,0.000,36,active
fda.inspections.history,2026-09-08T14:33:03Z,2026-09-09T17:04:02Z,2026-09-09T17:04:02Z,0,0,2160,40.0,0.000,28,active
fda.refusals.backfill,2026-09-09T17:04:05Z,2026-09-09T17:05:47Z,2026-09-09T17:05:47Z,0,0,2160,40.0,0.000,31,active
fda.decrs.excluded,2026-09-09T15:02:25Z,2026-09-10T10:14:10Z,2026-09-10T10:14:10Z,0,0,720,22.8,0.000,3,active
fda.decrs.registrations,2026-09-09T15:04:48Z,2026-09-10T10:14:32Z,2026-09-10T10:14:32Z,0,0,720,22.8,0.000,3,active
fda.drugsfda.cohort-status,2026-09-02T16:47:11Z,2026-09-10T10:31:50Z,2026-09-10T10:31:50Z,0,0,720,22.6,0.000,1442,active
fda.importalert.66-41,2026-09-02T13:23:25Z,2026-09-10T10:31:54Z,2026-09-10T10:31:54Z,0,0,720,22.6,0.222,9,active
fda.outsourcing.facilities,2026-09-10T09:29:49Z,2026-09-10T10:34:54Z,2026-09-10T10:34:54Z,0,0,720,22.5,0.000,2,active
fda.productcodes.reference,2026-09-07T21:04:19Z,2026-09-10T10:35:26Z,2026-09-10T10:35:26Z,0,0,720,22.5,0.000,16,active
fda.rems.approved,2026-09-10T10:35:29Z,2026-09-10T10:35:29Z,2026-09-10T10:35:29Z,0,0,720,22.5,0.000,1,active
ansm.shortages.fr,2026-09-10T10:39:09Z,2026-09-10T10:39:09Z,2026-09-10T10:39:09Z,0,0,168,22.4,0.500,2,active
fda.citations.drugs,2026-09-08T14:18:20Z,2026-09-10T10:39:21Z,2026-09-10T10:39:21Z,0,0,168,22.4,0.000,5,active
fda.complianceactions.drugs,2026-09-07T21:01:42Z,2026-09-10T10:39:25Z,2026-09-10T10:39:25Z,0,0,168,22.4,0.000,8,active
fda.devices.shortages,2026-09-10T08:05:35Z,2026-09-10T10:39:29Z,2026-09-10T10:39:29Z,0,0,168,22.4,0.000,3,active
fda.importalert.66-40,2026-09-02T13:22:06Z,2026-09-10T10:39:54Z,2026-09-10T10:39:54Z,0,0,168,22.4,0.231,13,active
fda.importrefusals.recent,2026-09-07T20:39:18Z,2026-09-10T10:40:30Z,2026-09-10T10:40:30Z,0,0,168,22.4,0.000,11,active
fda.inspections.drugs,2026-09-07T21:02:29Z,2026-09-10T10:40:35Z,2026-09-10T10:40:35Z,0,0,168,22.4,0.000,20,active
fda.recalls.cder,2026-09-07T20:58:42Z,2026-09-10T10:40:52Z,2026-09-10T10:40:52Z,0,0,168,22.4,0.250,40,active
fda.shortages.current,2026-09-02T13:22:41Z,2026-09-10T10:41:23Z,2026-09-10T10:41:23Z,0,0,168,22.4,0.000,26,active
tga.shortages.au,2026-09-10T07:39:42Z,2026-09-10T10:41:28Z,2026-09-10T10:41:28Z,0,0,168,22.4,0.000,4,active
